"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","log2FoldChange","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"2.5242718446601944","0.10458636621670576","0.39615384615384613","0.38095238095238093","15","6","false","1.03136470061476","GATA3","12.533333333333333","0","15","0","0.9508299404948324","true","0","GATA3","5322","0.248"
"2.6990291262135924","0.0027910040839179886","0.37050359712230213","0.7857142857142857","8","6","false","1.29275169488111","NCR1","17.0","0","8","0","0.9451926088318197","true","0","NCR1","444","0.40476190476190477"
"3.3883495145631066","0.0","0.29512893982808025","0.0","1","6","false","-1.10880039168139","CLEC4F","21.0","0","1","0","0.9229564672721579","true","0","CLEC4F","0","0.0"
"3.1650485436893203","0.021089747657423275","0.3159509202453988","0.4642857142857143","8","6","false","1.2511750838649","GZMK","12.125","0","8","0","0.9301597243971187","true","0","GZMK","2804","0.4"
"2.5825242718446604","0.007056081648323062","0.3872180451127819","0.7166666666666667","16","6","false","1.41604451793874","CXCR6","16.1875","0","16","0","0.9489508299404947","true","0","CXCR6","1004","0.35190217391304346"
"2.4466019417475726","0.02322004015931069","0.4087301587301588","0.5672514619883041","19","5","false","1.0795449175976","CXCR3","14.842105263157896","0","19","0","0.9533354212339492","true","0","CXCR3","2588","0.29102167182662536"
"2.6699029126213594","2.8837366073231296E-4","0.3745454545454545","0.9102564102564102","13","6","false","1.0874758036222","CCR4","17.76923076923077","0","13","0","0.9461321641089884","true","0","CCR4","28","0.41323792486583183"
"2.5533980582524274","0.006265661830068375","0.3916349809885931","0.675","16","6","false","1.3420349598228","CXCR2","15.6875","0","16","0","0.9498903852176637","true","0","CXCR2","530","0.31375"
"2.650485436893204","8.933962977419241E-4","0.3772893772893773","0.8461538461538461","13","6","false","-1.10483793245749","CXCL11","17.23076923076923","0","13","0","0.9467585342937676","true","0","CXCL11","68","0.3916083916083916"
"2.2718446601941746","0.034003197610734615","0.4401709401709402","0.6666666666666666","16","5","false","1.56956098604154","PPBP","17.3125","0","16","0","0.958972752896962","true","0","PPBP","2298","0.2509057971014493"
"2.563106796116505","0.005281175044463018","0.39015151515151514","0.6857142857142857","15","6","false","1.3964501756754","CXCR1","15.8","0","15","0","0.949577200125274","true","0","CXCR1","446","0.316"
"2.3980582524271843","0.043359207862743804","0.417004048582996","0.4857142857142857","21","5","false","1.07674928512479","CCR2","14.142857142857142","0","21","0","0.9549013466958973","true","0","CCR2","3236","0.265947888589398"
"2.6990291262135924","0.0","0.37050359712230213","1.0","11","6","false","1.06835116564799","CCL26","18.181818181818183","0","11","0","0.9451926088318197","true","0","CCL26","0","0.4329004329004329"
"2.941747572815534","0.0","0.33993399339933994","1.0","2","6","false","-1.04535239148302","CBLN4","22.5","0","2","0","0.9373629815220795","true","0","CBLN4","0","0.6818181818181818"
"3.0","0.0","0.3333333333333333","1.0","5","6","false","-1.08298201728442","PCDH8","15.8","0","5","0","0.9354838709677419","true","0","PCDH8","0","0.5642857142857143"
"2.8446601941747574","0.001045659440277176","0.3515358361774744","0.4","5","6","false","-1.1696122298935","RGS4","15.2","0","5","0","0.9404948324459755","true","0","RGS4","124","0.40540540540540543"
"2.854368932038835","0.009478631561492194","0.35034013605442177","0.6785714285714286","8","6","false","-1.06990711836267","GABRA1","13.875","0","8","0","0.940181647353586","true","0","GABRA1","752","0.3854166666666667"
"2.0485436893203883","0.12178032437264681","0.4881516587677725","0.35","25","5","false","1.24297539553414","CXCR4","13.84","0","25","0","0.9661760100219229","true","0","CXCR4","6656","0.17974025974025973"
"2.621359223300971","0.004430041538611078","0.3814814814814815","0.3","5","5","false","-1.04349905964074","DRD3","16.0","0","5","0","0.9476980895709365","true","0","DRD3","316","0.316"
"2.621359223300971","0.013020547120754138","0.3814814814814815","0.5523809523809524","15","6","false","-1.23492723626078","GAD2","13.733333333333333","0","15","0","0.9476980895709365","true","0","GAD2","1512","0.2861111111111111"
"2.436893203883495","0.042470200888783456","0.4103585657370518","0.41830065359477125","18","6","false","-1.10507029067132","GAD1","12.666666666666666","0","18","0","0.9536486063263389","true","0","GAD1","2436","0.2212475633528265"
